Year,Quarter,Region,State,Model,Units_Sold,Revenue,Market_Share
2019,Q1,North,Delhi,iPhone XR,45000,2250000000,2.5
2019,Q1,North,Haryana,iPhone XR,12000,600000000,2.1
2019,Q1,South,Karnataka,iPhone XR,52000,2600000000,3.2
2019,Q1,South,Tamil Nadu,iPhone XR,38000,1900000000,2.8
2019,Q1,West,Maharashtra,iPhone XR,68000,3400000000,3.5
2019,Q1,West,Gujarat,iPhone XR,25000,1250000000,2.3
2019,Q1,East,West Bengal,iPhone XR,18000,900000000,1.8
2019,Q2,North,Delhi,iPhone XR,48000,2400000000,2.6
2019,Q2,South,Karnataka,iPhone XR,55000,2750000000,3.3
2019,Q2,West,Maharashtra,iPhone XR,72000,3600000000,3.7
2019,Q3,North,Delhi,iPhone 11,62000,3100000000,3.1
2019,Q3,South,Karnataka,iPhone 11,68000,3400000000,3.8
2019,Q3,West,Maharashtra,iPhone 11,88000,4400000000,4.2
2019,Q4,North,Delhi,iPhone 11,75000,3750000000,3.5
2019,Q4,South,Karnataka,iPhone 11,82000,4100000000,4.1
2019,Q4,West,Maharashtra,iPhone 11,105000,5250000000,4.8
2020,Q1,North,Delhi,iPhone 11,68000,3400000000,3.3
2020,Q1,South,Karnataka,iPhone 11,75000,3750000000,4.0
2020,Q1,West,Maharashtra,iPhone 11,95000,4750000000,4.5
2020,Q2,North,Delhi,iPhone SE 2020,82000,3280000000,3.8
2020,Q2,South,Karnataka,iPhone SE 2020,88000,3520000000,4.2
2020,Q2,West,Maharashtra,iPhone SE 2020,112000,4480000000,5.1
2020,Q3,North,Delhi,iPhone 11,72000,3600000000,3.5
2020,Q3,South,Karnataka,iPhone 11,78000,3900000000,4.0
2020,Q3,West,Maharashtra,iPhone 11,98000,4900000000,4.7
2020,Q4,North,Delhi,iPhone 12,95000,5700000000,4.2
2020,Q4,South,Karnataka,iPhone 12,105000,6300000000,4.8
2020,Q4,West,Maharashtra,iPhone 12,135000,8100000000,5.5
2021,Q1,North,Delhi,iPhone 12,102000,6120000000,4.5
2021,Q1,South,Karnataka,iPhone 12,112000,6720000000,5.0
2021,Q1,West,Maharashtra,iPhone 12,145000,8700000000,5.8
2021,Q2,North,Delhi,iPhone 12,108000,6480000000,4.7
2021,Q2,South,Karnataka,iPhone 12,118000,7080000000,5.2
2021,Q2,West,Maharashtra,iPhone 12,152000,9120000000,6.0
2021,Q3,North,Delhi,iPhone 12,98000,5880000000,4.4
2021,Q3,South,Karnataka,iPhone 12,108000,6480000000,4.9
2021,Q3,West,Maharashtra,iPhone 12,138000,8280000000,5.6
2021,Q4,North,Delhi,iPhone 13,125000,8750000000,5.2
2021,Q4,South,Karnataka,iPhone 13,138000,9660000000,5.8
2021,Q4,West,Maharashtra,iPhone 13,175000,12250000000,6.5
2022,Q1,North,Delhi,iPhone 13,132000,9240000000,5.4
2022,Q1,South,Karnataka,iPhone 13,145000,10150000000,6.0
2022,Q1,West,Maharashtra,iPhone 13,185000,12950000000,6.8
2022,Q2,North,Delhi,iPhone 13,138000,9660000000,5.6
2022,Q2,South,Karnataka,iPhone 13,152000,10640000000,6.2
2022,Q2,West,Maharashtra,iPhone 13,192000,13440000000,7.0
2022,Q3,North,Delhi,iPhone 13,128000,8960000000,5.3
2022,Q3,South,Karnataka,iPhone 13,142000,9940000000,5.9
2022,Q3,West,Maharashtra,iPhone 13,178000,12460000000,6.6
2022,Q4,North,Delhi,iPhone 14,155000,11625000000,6.2
2022,Q4,South,Karnataka,iPhone 14,172000,12900000000,6.8
2022,Q4,West,Maharashtra,iPhone 14,218000,16350000000,7.5
2023,Q1,North,Delhi,iPhone 14,165000,12375000000,6.5
2023,Q1,South,Karnataka,iPhone 14,182000,13650000000,7.1
2023,Q1,West,Maharashtra,iPhone 14,232000,17400000000,7.8
2023,Q2,North,Delhi,iPhone 14,172000,12900000000,6.7
2023,Q2,South,Karnataka,iPhone 14,188000,14100000000,7.3
2023,Q2,West,Maharashtra,iPhone 14,242000,18150000000,8.1
2023,Q3,North,Delhi,iPhone 14,158000,11850000000,6.3
2023,Q3,South,Karnataka,iPhone 14,175000,13125000000,6.9
2023,Q3,West,Maharashtra,iPhone 14,225000,16875000000,7.6
2023,Q4,North,Delhi,iPhone 15,195000,15600000000,7.2
2023,Q4,South,Karnataka,iPhone 15,215000,17200000000,7.8
2023,Q4,West,Maharashtra,iPhone 15,275000,22000000000,8.5
2024,Q1,North,Delhi,iPhone 15,205000,16400000000,7.5
2024,Q1,South,Karnataka,iPhone 15,228000,18240000000,8.2
2024,Q1,West,Maharashtra,iPhone 15,288000,23040000000,8.8
